Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location,Land Type_x,Land Type_y
2019,11,108971,108971,561-585 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Flinders Lane MELBOURNE 3000,100,144.955104228479,-37.82020005165,"-37.820200051650005, 144.95510422847929",Commercial,Commercial
2019,12,103994,103994,502-504 Flinders Street MELBOURNE 3000,Melbourne (CBD),Insignia on Flinders,502-504 Flinders Street MELBOURNE 3000,100,144.95765644665,-37.8200568894661,"-37.82005688946613, 144.95765644665",Commercial,Commercial
2019,12,105401,105401,14-20 King Street MELBOURNE 3000,Melbourne (CBD),Tramp Bar,"Basement , 20 King Street MELBOURNE 3000",260,144.957713780495,-37.8197759733,"-37.8197759733, 144.9577137804946",Commercial,Commercial
2019,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Dreams Gentlemen's Club,288 Elizabeth Street MELBOURNE 3000,160,144.964607974806,-37.8180566348,"-37.8180566348, 144.96460797480603",Commercial,Commercial
2019,16,104020,104020,150-162 Flinders Street MELBOURNE 3000,Melbourne (CBD),Forum Theatre Bar,"Part Ground , 150-162 Flinders Street MELBOURNE 3000",1500,144.9693864777,-37.8164855871214,"-37.81648558712138, 144.9693864777",Commercial,Commercial
2019,16,108532,108532,27-37 Russell Street MELBOURNE 3000,Melbourne (CBD),Whiskey Den,"Lot , Ground , 27 Russell Street MELBOURNE 3000",40,144.969247616264,-37.81598739985,"-37.81598739985, 144.9692476162641",Commercial,Commercial
2019,17,103922,103922,95-101 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Garden State Hotel,95-101 Flinders Lane MELBOURNE 3000,840,144.97109866785,-37.8155271957592,"-37.8155271957592, 144.97109866785",Commercial,Commercial
2019,17,103926,103926,125-127 Flinders Lane MELBOURNE 3000,Melbourne (CBD),GoGo Bar,"Basement , 125 Flinders Lane MELBOURNE 3000",300,144.97039992735,-37.8156891969343,"-37.81568919693426, 144.97039992735",Commercial,Commercial
2019,17,103928,103928,133-135 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Meatball & Wine Bar,"Ground , 135 Flinders Lane MELBOURNE 3000",110,144.9701588779,-37.8157393318424,"-37.81573933184235, 144.97015887790002",Commercial,Commercial
2019,22,105394,105394,62-66 King Street MELBOURNE 3000,Melbourne (CBD),KSR Art Bar,"Level 1, 62-66 King Street MELBOURNE 3000",240,144.957146946402,-37.81874468575,"-37.81874468575, 144.95714694640196",Commercial,Commercial
