bioblitz-2016 (1)
Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Identification Notes,Data Resource Name,Sighting Date,Latitude,Longitude,Location,geopoint
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-05,-37.8059,144.972,,"-37.8059, 144.972"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,,,Midges,Bowerbird,2016-03-05,-37.8053,144.9727,,"-37.8053, 144.9727"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,RICANIIDAE,Scolypopa,australis,Passionvine Hopper,,Bowerbird,2016-03-05,-37.8054,144.9727,,"-37.8054, 144.9727"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,ARCTIIDAE,Anestia,ombrophanes,Clouded Footman,,Bowerbird,2016-03-05,-37.8044,144.9729,,"-37.8044, 144.9729"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,FLATIDAE,Anzora,unicolor,Grey Planthopper,,Bowerbird,2016-03-05,-37.8047,144.9729,,"-37.8047, 144.9729"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-05,-37.8049,144.973,,"-37.8049, 144.973"
Insect,ANIMALIA,ARTHROPODA,INSECTA,BLATTODEA,BLABERIDAE,Pycnoscelus,surinamensis,Surinam Cockroach,,Bowerbird,2016-02-22,-37.8086,144.9735,,"-37.8086, 144.9735"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,COREIDAE,,,,Leaf-footed Bug,Participate Melbourne,2016-02-25,-37.8188,144.974,,"-37.8188, 144.974"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Heteronympha,merope,Common Brown,,Bowerbird,2016-03-20,-37.8184,144.9742,,"-37.8184, 144.9742"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-20,-37.818,144.9744,,"-37.818, 144.9744"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-20,-37.8183,144.9746,,"-37.8183, 144.9746"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,PTINIDAE,,,,Anobiid Beetle. Subfamily Anobiidae,Bowerbird,2016-03-20,-37.8183,144.9746,,"-37.8183, 144.9746"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-20,-37.8185,144.9749,,"-37.8185, 144.9749"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-07,-37.8138,144.9758,,"-37.8138, 144.9758"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-07,-37.8136,144.976,,"-37.8136, 144.976"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-07,-37.8136,144.9761,,"-37.8136, 144.9761"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-07,-37.8135,144.9762,,"-37.8135, 144.9762"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-07,-37.8135,144.9763,,"-37.8135, 144.9763"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,RHYPAROCHROMIDAE,Remaudiereana,inornata,Seed Bug,,Bowerbird,2016-03-04,-37.8317,144.9766,,"-37.8317, 144.9766"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,MIRIDAE,,,,"Jumping Tree Bug, Plant Bug",Bowerbird,2016-03-04,-37.8317,144.9766,,"-37.8317, 144.9766"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,ARCTIIDAE,Anestia,ombrophanes,Clouded Footman,,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,HEPIALIDAE,Elhamma,australasiae,,Swift Moth,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,Hygraula,nitens,"Pond Moth, Australian Water Moth",Formerly known as Paraponyx nitens,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Leucania,diatrecta,,Owlet Moth,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,COSMOPTERIGIDAE,Macrobathra,bigerella,,Cosmet Moth,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,TINEIDAE,Monopis,icterogastra,Wool Moth,,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,Nacoleia,rhoeoalis,,Grass Moth,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Phacodes,personatus,,Longicorn Beetle,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SILPHIDAE,Ptomaphila,lacrymosa,,Carrion Beetle,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PYRALIDAE,Scenedra,decoratalis,,Pyralid Moth,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,RICANIIDAE,Scolypopa,australis,Passionvine Hopper,,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,CHOREUTIDAE,Tebenna,micalis,Small Thistle Moth,,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,ARCTIIDAE,Utetheisa,pulchelloides,Heliotrope Moth,,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,GEOMETRIDAE,Chloroclystis,,,Geometrid Moth,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,ARCTIIDAE,Palaeosia,,,Tiger Moth,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,BLATTODEA,ECTOBIIDAE,,,,Wood Cockroach,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,TORTRICIDAE,,,,"Tortrix Moth, Leafroller Moth",Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-04,-37.8305,144.9775,,"-37.8305, 144.9775"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-04,-37.832,144.9781,,"-37.832, 144.9781"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,Exaireta,,,Soldier Fly,Bowerbird,2016-03-22,-37.8139,144.9811,,"-37.8139, 144.9811"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CHRYSOMELIDAE,Xanthogaleruca,luteola,Elm Leaf Beetle,,Bowerbird,2016-03-04,-37.8304,144.9796,,"-37.8304, 144.9796"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,VESPIDAE,Vespula,germanica,European Wasp,,Bowerbird,2016-03-19,-37.8124,144.9798,,"-37.8124, 144.9798"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-07,-37.8126,144.9798,,"-37.8126, 144.9798"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-19,-37.8125,144.9798,,"-37.8125, 144.9798"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-19,-37.8146,144.9799,,"-37.8146, 144.9799"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,Exaireta,,,Soldier Fly,Bowerbird,2016-03-19,-37.8113,144.9801,,"-37.8113, 144.9801"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-22,-37.8124,144.9803,,"-37.8124, 144.9803"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,,,,Skipper,Bowerbird,2016-03-22,-37.8139,144.9811,,"-37.8139, 144.9811"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,,,,Skipper,Bowerbird,2016-03-19,-37.8115,144.9814,,"-37.8115, 144.9814"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-19,-37.8113,144.9815,,"-37.8113, 144.9815"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,Ocybadistes,walkeri,Greenish Grass-dart,,Bowerbird,2016-03-19,-37.8115,144.9818,,"-37.8115, 144.9818"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-31,-37.8115,144.9821,,"-37.8115, 144.9821"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-31,-37.8115,144.9822,,"-37.8115, 144.9822"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Zizina,otis,"Common Grass Blue, Grass Blue",Subspecies Zizina otis labradus,Bowerbird,2016-03-19,-37.8115,144.9824,,"-37.8115, 144.9824"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-19,-37.8114,144.9829,,"-37.8114, 144.9829"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,APHIDIDAE,,,,Aphid,Bowerbird,2016-03-19,-37.8114,144.9829,,"-37.8114, 144.9829"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-19,-37.827,144.9838,,"-37.827, 144.9838"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,PSYLLIDAE,,,,Psyllid,Bowerbird,2016-03-19,-37.827,144.9847,,"-37.827, 144.9847"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-19,-37.827,144.9847,,"-37.827, 144.9847"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,Scoparia,exhibitalis,,Grass Moth,Bowerbird,2016-03-19,-37.8182,144.9854,,"-37.8182, 144.9854"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-19,-37.8207,144.9858,,"-37.8207, 144.9858"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,,,,Ant,Bowerbird,2016-03-19,-37.8175,144.9867,,"-37.8175, 144.9867"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,,,,,Moth,Handwritten,2016-04-01,-37.819,144.974,,"-37.819, 144.974"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,,,,,Fly,Handwritten,2016-04-01,-37.819,144.974,,"-37.819, 144.974"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DERMAPTERA,FORFICULIDAE,Forficula,auricularia,European Earwig,,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CHRYSOMELIDAE,Xanthogaleruca,luteola,Elm Leaf Beetle,,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,CERCOPIDAE,,,,Froghopper,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,,,Midges,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,ARCTIIDAE,,,,Tiger Moth Caterpillar,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,PSYLLIDAE,,,,"Psyllid, Lerp",Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Insect,ANIMALIA,ARTHROPODA,INSECTA,NEUROPTERA,CHRYSOPIDAE,Apertochrysa,edwardsi,,Green Lacewing,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Arrade,leucocosmalis,,Owlet Moth (Moth 9),Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,HEPIALIDAE,Elhamma,australasiae,,Swift Moth,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,GEOMETRIDAE,Epicyme,rubropunctaria,Red-spotted Delicate,Formerly known as Ptychopoda rubropunctaria,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,Hednota,relatalis,Pasture Webworm,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,Hellula,hydralis,Cabbage Centre Grub,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,OECOPHORIDAE,Heteroteucha,translatella,,Concealer Moth,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Leucania,diatrecta,,Owlet Moth (Moth 12),Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PYRALIDAE,Meyriccia,latro,Lesser Wax Moth,Formerly known as Melissoblaptes latro,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,TINEIDAE,Monopis,icterogastra,Wool Moth,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,GEOMETRIDAE,Parosteodes,fictiliaria,Dodonaea Moth,Moth 8,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,,,,,Fly,Handwritten,2016-03-04,-37.797,144.959,,"-37.797, 144.959"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Proteuxoa,tortisigna,Streaked Rictonis Moth,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SILPHIDAE,Ptomaphila,lacrymosa,,Carrion Beetle,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,RHYPAROCHROMIDAE,Remaudiereana,inornata,Seed Bug,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,DERBIDAE,Saccharodite,chrysonoe,Derbid Planthopper,Also known as Rhotana chrysonoe,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,OECOPHORIDAE,Stathmopoda,melanochra,,Concealer Moth (Moth 18),Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,CHOREUTIDAE,Tebenna,micalis,Small Thistle Moth,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,GRYLLIDAE,Teleogryllus,commodus,Black Field Cricket,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,Agraptocorixia,,,Static Boatman,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,GEOMETRIDAE,Chloroclystis,,,Geometrid Moth,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,NOTONECTIDAE,Enithares,,,Robust Backswimmer,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PYRALIDAE,,,,Pyralid Moth (Moth 3),Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Persectania,ewingii,Southern Armyworm,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,TENEBRIONIDAE,Ecnolagria,grandis,"Brown Darkling Beetle, Honeybrown Beetle",,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CHRYSOMELIDAE,Xanthogaleruca,luteola,Elm Leaf Beetle,,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,Cloeon,,,Small Minnow Mayfly,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,Triplectides,,,Long-horned Caddisfly,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,,,Mayfly,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,DOLICHOPODIDAE,,,,Longlegged Fly,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,,,,Click Beetle,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,PSYLLIDAE,,,,"Psyllid, Lerp",Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,,,,,Dragonfly,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,,,,,Fly,Handwritten,2016-03-04,-37.798,144.961,,"-37.798, 144.961"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,,,,,Moth 23,Handwritten,2016-03-04,-37.798,144.961,,"-37.798, 144.961"
Insect,ANIMALIA,ARTHROPODA,INSECTA,HEMIPTERA,NOTONECTIDAE,Enithares,,,Robust Backswimmer,Handwritten,2016-03-05,-37.831,144.91,,"-37.831, 144.91"
Lichen,FUNGI,,,,,,,,Lichen - Brown Cracked Crust,Handwritten,2016-03-05,-37.789,144.967,,"-37.789, 144.967"
Insect,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,,Narrow-winged Damselfly,Handwritten,2016-03-05,-37.831,144.91,,"-37.831, 144.91"
Lichen,FUNGI,,,,,,,,Lichen 1,Handwritten,2016-04-01,-37.819,144.974,,"-37.819, 144.974"
Lichen,FUNGI,ASCOMYCOTA,LECANOROMYCETES,CANDELARIALES,CANDELARIACEAE,Candelariella,vitellina,Common Goldspeck Lichen,,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Lichen,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,CLADONIACEAE,Cladonia,,,Cup Lichen,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Lichen,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,PHYSCIACEAE,Heterodermia,,,,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Lichen,FUNGI,ASCOMYCOTA,LECANOROMYCETES,TELOSCHISTALES,TELOSCHISTACEAE,Caloplaca,,,Caloplaca Lichen 2,Handwritten,2016-03-05,-37.789,144.967,,"-37.789, 144.967"
Lichen,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,LECANORACEAE,Lecanora,dispersa,Old Man's Beard,Lecanora dispersa Lichen 1,Handwritten,2016-03-05,-37.789,144.967,,"-37.789, 144.967"
Lichen,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,PARMELIACEAE,Xanthoparmelia,,,Xanthoparmelia Lichen 3,Handwritten,2016-03-05,-37.789,144.967,,"-37.789, 144.967"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASTERALES,ASTERACEAE,Brachyscome,multifida,Cut-leaf Daisy,,Bowerbird,2016-03-05,-37.8319,144.9087,,"-37.8319, 144.9087"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Trichosurus,vulpecula,Common Brushtail Possum,,Bowerbird,2016-03-31,-37.8136,144.9758,,"-37.8136, 144.9758"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Trichosurus,vulpecula,Common Brushtail Possum,,Bowerbird,2016-03-31,-37.8123,144.9806,,"-37.8123, 144.9806"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Trichosurus,vulpecula,Common Brushtail Possum,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,poliocephalus,Grey-headed Flying-fox,,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,poliocephalus,Grey-headed Flying-fox,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,poliocephalus,Grey-headed Flying-fox,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mus,musculus,House Mouse,,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VEPSERTILIONIDAE,Nyctophilus,geoffroyi,Lesser Long-eared Bat,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,lumholtzi,Lumholtz's Tree-kangaroo,,Bowerbird,2016-04-12,-37.8112,144.954,,"-37.8112, 144.954"
Mammal,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Austronomous,australis,White-striped Freetail Bat,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Mollusc,ANIMALIA,MOLLUSCA,BIVALVIA,CARDIIDA,VENERIDAE,Eumarcia,fumigata,Shining Venus Shell,,Bowerbird,2016-02-24,-37.8302,144.9,,"-37.8302, 144.9"
Mollusc,ANIMALIA,MOLLUSCA,BIVALVIA,MYTILIDA,MYTILIDAE,Arcuatula,senhousia,Asian Mussel,,Bowerbird,2016-02-24,-37.8302,144.9001,,"-37.8302, 144.9001"
Mollusc,ANIMALIA,MOLLUSCA,BIVALVIA,MYTILIDA,MYTILIDAE,Mytilus,galloprovincialis,Mediterranean Mussel,,Bowerbird,2016-02-26,-37.8302,144.9004,,"-37.8302, 144.9004"
Mollusc,ANIMALIA,MOLLUSCA,BIVALVIA,CARDIIDA,MESODESMATIDAE,Atactodea,erycinaea,Eryx Wedge-shell,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Mollusc,ANIMALIA,MOLLUSCA,BIVALVIA,CARDIIDA,VENERIDAE,Eumarcia,fumigata,Shining Venus Shell,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Mollusc,ANIMALIA,MOLLUSCA,BIVALVIA,MYTILIDA,MYTILIDAE,Limnoperna,,,Brown Mussel,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Mollusc,ANIMALIA,MOLLUSCA,GASTROPODA,HYPSOGASTROPODA,NATICIDAE,Polinices,,,Moon Snail,Bowerbird,2016-02-24,-37.8298,144.9002,,"-37.8298, 144.9002"
Mollusc,ANIMALIA,MOLLUSCA,GASTROPODA,PULMONATA,LIMACIDAE,Limax,maximus,Leopard Slug,,Participate Melbourne,2016-03-04,-37.7964,144.9612,,"-37.7964, 144.9612"
Mollusc,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PHYSIDAE,Physa,acuta,Acute Bladder Snail,,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Mollusc,ANIMALIA,MOLLUSCA,GASTROPODA,HYPSOGASTROPODA,HYDROBIIDAE,,,,Mud Snail,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Mollusc,ANIMALIA,MOLLUSCA,GASTROPODA,HYPSOGASTROPODA,NATICIDAE,Polinices,,,Moon Snail,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Nematode,ANIMALIA,NEMERTEA,NEMERTINEA,HETERONEMERTEA,CEREBRATULIDAE,Quasilineus,lucidoculatus,Nemertean Worm,,Bowerbird,2016-02-24,-37.8303,144.9001,,"-37.8303, 144.9001"
